provider,provider_display,neutral,general,popular,engaging,informative,controversial
anthropic,Anthropic Claude Sonnet 4.5,-0.05804871068885927,-0.06850346388020505,0.0409283068736356,0.1375286881431321,-0.10330025111620104,-0.03181179041079354
openai,OpenAI GPT-4o-mini,0.03396105283850247,-0.020748562214413135,0.009917351186521166,0.0279781529529687,-0.05549439054045407,0.0173877679921333
gemini,Google Gemini 2.0 Flash,0.05050822805403793,-0.05596444889438864,0.05746541384166837,0.11950294156923967,-0.10140169502799252,0.033181905177130565
