provider,provider_display,neutral,general,popular,engaging,informative,controversial
anthropic,Anthropic Claude Sonnet 4.5,0.07764834009803406,0.027638918967616666,0.0081661870987135,0.07369559879566834,0.023854008871863366,0.1025921765641827
openai,OpenAI GPT-4o-mini,0.08253941281947792,0.04773271604938267,0.03639938271604933,0.046069074754988004,0.0414065713429212,0.07759691358024685
gemini,Google Gemini 2.0 Flash,0.08799426191093856,0.015530088089967331,0.015538776399706035,0.05974115092779941,0.027356416367502568,0.09420735885582143
